SMILES,Homo-lumo gap (ev),Lumo(ev),Wavelength(nm)
C=C[C@@]1([C@H]2CCC1=C2)O,3.14940114,-1.7333407,462.14
C=C1[C@@H]2CC[C@H]1[C@@H]3[C@H]2O3,7.11703705,0.43918554,178.79
C(#C[O-])C(=C(F)F)F,4.91729981,4.66314907,306.59
C[C@@H]([C@]1(CCCCO1)COC)O,7.77581536,1.51048261,184.88
C([O-])(F)F,8.00057822,9.13010683,180.48
C([O-])OC(=O)[O-],5.92084149,11.98154752,251.3
C[C@H]([C@@]1(CCCC[C@@H]1O)C)O,8.00112244,1.32218249,177.14
C[C@@H](CC#C)O,8.09363984,1.11347412,183.06
C([C]O)CO,3.8394721,-1.53116297,527.16
C([C@H]1[C@](O1)(CO)O)O,7.99704079,0.96354151,175.1
C[C@H]([C@H](C)O)C(=O)O,6.53417743,-0.70177169,257.23
C(=O)OOC(=O)OO,5.89199783,-2.57388849,264.99
C[C@H]([C@@H](C=C)OC)O,7.18261556,0.45496792,202.16
C1[C@H](OC=C(O1)CO)C,6.15104655,0.73932287,210.71
C[C@H]([C@@](C)(CO)F)O,8.26316437,1.18966492,173.34
C[C@H]([C@@]12CCC=C1)O2,6.97744462,0.56353981,201.02
C=C[C@@H]1C=CC[C@H]1C=O,5.86859637,-0.85605806,308.21
C[C@H]([C@](C)(CO)O)O,7.91649623,1.06449432,180.54
C/C=C/[C@@]1(CCC[C@H]1CO)O,6.70859994,0.33823273,202.86
C([C@@](CO)(C(=O)[O-])O)O,4.16845309,4.75865968,358.2
C/C=C/[C@@H]1CCC[C@H]2C1COC2,6.70642306,0.36408318,201.83
CC#CCCC1CCCCCC1=O,5.88655563,-0.52979817,303.37
C[C@@H](C(=C)C)O,7.04193469,0.47809727,190.37
CC/C(=C/C)/C(C)CO,6.72574287,0.56734935,190.14
C([C](F)(F)F)F,11.21719053,1.0693923,128.95
C(#CCOC=O)O,6.2013869,-0.81388101,250.57
C(=O)C#CC=O,4.272127,-3.6381107,444.27
C[C@@H](/[C@H]([C@H](CC=C)O)O)O,7.07540422,0.37959345,192.29
C=C/C/1(CCCCC1)F,7.23159536,0.15619114,175.45
C[C@H]([C@]1(CCCC[C@@H]1O)C)O,7.85744836,1.70912291,184.08
C([C@@H]([C@H](C(=O)[O-])O)O)O,4.49634564,4.51348857,321.44
C[C@H]([C@@](C)(CO)O)O,7.87268652,1.09687541,181.02
C[C@@H]([C@]1)C=CC(=O)O1,3.16028554,-2.90423003,690.52
C/C/1=C/CCCCCCCC1,6.68356582,0.76952708,186.37
